"","participant_id","redcap_survey_identifier","consent_form_timestamp","age","wsuwork","studentyn","consent___1","consent_form_complete","explanationexample_timestamp","contact1","multiple1","agecontact1___0","agecontact1___1","agecontact1___2","agecontact1___3","maskcontact1","touchcontact1","contextcontact1___0","contextcontact1___1","contextcontact1___2","contextcontact1___3","contextcontact1___4","contextcontact1___5","locationcontact1","timecontact1","another","contact2","multiple2","agecontact2___0","agecontact2___1","agecontact2___2","agecontact2___3","maskcontact2","touchcontact2","contextcontact2___0","contextcontact2___1","contextcontact2___2","contextcontact2___3","contextcontact2___4","contextcontact2___5","locationcontact2","timecontact2","another_2","contact3","multiple3","agecontact3___0","agecontact3___1","agecontact3___2","agecontact3___3","maskcontact3","touchcontact3","contextcontact3___0","contextcontact3___1","contextcontact3___2","contextcontact3___3","contextcontact3___4","contextcontact3___5","locationcontact3","timecontact3","another_3","contact4","multiple4","agecontact4___0","agecontact4___1","agecontact4___2","agecontact4___3","maskcontact4","touchcontact4","contextcontact4___0","contextcontact4___1","contextcontact4___2","contextcontact4___3","contextcontact4___4","contextcontact4___5","locationcontact4","timecontact4","another_4","contact5","multiple5","agecontact5___0","agecontact5___1","agecontact5___2","agecontact5___3","maskcontact5","touchcontact5","contextcontact5___0","contextcontact5___1","contextcontact5___2","contextcontact5___3","contextcontact5___4","contextcontact5___5","timecontact5","locationcontact5","another_5","contact6","multiple6","agecontact6___0","agecontact6___1","agecontact6___2","agecontact6___3","maskcontact6","touchcontact6","contextcontact6___0","contextcontact6___1","contextcontact6___2","contextcontact6___3","contextcontact6___4","contextcontact6___5","locationcontact6","timecontact6","another_6","contact7","multiple7","agecontact7___0","agecontact7___1","agecontact7___2","agecontact7___3","maskcontact7","touchcontact7","contextcontact7___0","contextcontact7___1","contextcontact7___2","contextcontact7___3","contextcontact7___4","contextcontact7___5","locationcontact7","timecontact7","another_7","contact8","multiple8","agecontact8___0","agecontact8___1","agecontact8___2","agecontact8___3","maskcontact8","touchcontact8","contextcontact8___0","contextcontact8___1","contextcontact8___2","contextcontact8___3","contextcontact8___4","contextcontact8___5","locationcontact8","timecontact8","another_8","contact9","multiple9","agecontact9___0","agecontact9___1","agecontact9___2","agecontact9___3","maskcontact9","touchcontact9","contextcontact9___0","contextcontact9___1","contextcontact9___2","contextcontact9___3","contextcontact9___4","contextcontact9___5","locationcontact9","timecontact9","another_9","contact10","multiple10","agecontact10___0","agecontact10___1","agecontact10___2","agecontact10___3","maskcontact10","touchcontact10","contextcontact10___0","contextcontact10___1","contextcontact10___2","contextcontact10___3","contextcontact10___4","contextcontact10___5","locationcontact10","timecontact10","another_10","explanationexample_complete","additional_questions_timestamp","occupation","essentialjobyn","teachyn","campus_loc","teleworkyn","pullmanyn","npullman","typcialyn","ntypical","covid30","covid30result","covidmonth","covidmonthresult","positiveever","ill30yn","illsigns___0","illsigns___1","illsigns___2","illsigns___3","illsigns___4","illsigns___5","illsigns___6","illsigns___7","illsigns___8","illsigns___9","hcpyn","vaccination___0","vaccination___1","adultvax","adultnovax___1","adultnovax___2","adultnovax___3","childvax","childnovax___1","childnovax___2","childnovax___3","childnovax___4","previousyn","additional_questions_complete","Cont1Total","Cont2Total","Cont3Total","Cont4Total","Cont5Total","Cont6Total","Cont7Total","Cont8Total","Cont9Total","Cont10Total","Contact1location","Contact2location","Contact3location","Contact4location","Contact5location","Contact6location","Contact7location","Contact8location","Contact9location","Contact10location","Faculty","OccType"
"11",30,NA,"2021-11-12 17:01:44",1,1,0,1,2,"2021-11-12 17:07:55","Colleagues",1,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Vancouver",1,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Vancouver",1,1,"Colleagues",2,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Vancouver",2,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Vancouver",3,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,0,"WSU Vancouver",0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 17:09:16","Administrator",0,0,2,0,0,"Vancouver",1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,1,2,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,"Staff","Staff"
"12",38,NA,"2021-11-12 17:25:25",1,1,0,1,2,"2021-11-12 17:28:01","Students",10,0,1,0,0,We both did,No,1,1,0,0,0,0,"WSU Campus",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 17:29:28","Teacher",1,1,4,1,0,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"13",40,NA,"2021-11-12 19:31:27",1,1,0,1,2,"2021-11-12 19:46:14","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home and Car",3,1,"Students",1,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Campus",2,1,"Students",20,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Campus",2,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 19:51:02","Professor",1,1,0,0,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,4,0,0,0,0,2,2,1,1,20,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"14",41,NA,"2021-11-12 19:34:14",1,1,0,1,2,"2021-11-12 19:41:35","Spouse",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Strangers",20,0,0,1,0,We both did,No,0,0,1,0,0,0,"Gym",2,1,"Colleagues",1,0,1,0,0,We both did,No,0,1,0,0,0,0,"Work (Non-WSU)",1,1,"Health Care Workers",12,0,0,1,0,We both did,No,0,1,0,0,0,0,"Health Care Facility",0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 19:44:48","Online professor & Medical Courier Driver",1,1,0,0,0,"Colorado",1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,1,2,1,20,1,12,NA,NA,NA,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"15",42,NA,"2021-11-12 19:53:02",1,1,0,1,2,"2021-11-12 19:56:50","Spouse",1,0,0,0,1,Neither did,Yes,1,0,0,0,0,0,"Pullman",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 19:59:53","Instructor",1,1,0,0,1,NA,0,"It was a holiday (Veterans Day)",0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"16",45,NA,"2021-11-12 20:20:06",1,1,0,1,2,"2021-11-12 20:28:10","Spouse",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",1,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Colleagues",3,0,0,1,0,Neither did,No,0,0,1,0,0,0,"Other",3,1,"Laborers",1,0,1,0,0,I did not they did,No,0,0,1,0,0,0,"Other",0,1,"Colleagues",1,0,0,1,0,Neither did,Yes,0,1,0,0,0,0,2,"WSU Campus",1,"Colleagues",2,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Campus",2,1,"Colleagues",1,0,0,1,0,I did they did not,No,0,1,0,0,0,0,"WSU Campus",2,1,"Colleagues",1,0,0,1,0,Neither did,No,0,0,1,0,0,0,"Restaurant",2,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 20:29:56","Faculty administrator",1,1,3,0,0,"Richland, WA",0,"Fewer meetings than usual",0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,1,2,1,1,3,1,1,2,1,1,NA,NA,1,1,3,3,2,2,2,3,NA,NA,"Faculty","Upper Admin"
"17",47,NA,"2021-11-12 20:39:15",1,1,0,1,2,"2021-11-12 20:48:54","Partner",1,0,0,1,0,Neither did,Yes,1,0,1,1,0,0,"Home and Car",3,1,"Colleagues",1,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",3,1,"Colleagues",10,0,1,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",0,1,"Students",5,0,1,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",0,1,"Students",15,0,1,1,0,I did not they did,No,0,1,0,0,0,0,2,"WSU Pullman",1,"Laborers",4,0,0,1,0,Neither did,No,0,0,1,0,0,0,"Restaurant",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 20:51:04","Assistant Professor",1,0,0,2,0,"Genesee, ID",0,"I don't meet with company reps and go out on a regular basis.",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,1,10,5,15,4,NA,NA,NA,NA,1,2,2,2,2,3,NA,NA,NA,NA,"Faculty","Faculty"
"18",51,NA,"2021-11-12 21:39:18",1,1,0,1,2,"2021-11-12 21:45:17","Partner",1,0,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-12 21:47:30","University faculty",1,1,0,2,1,NA,0,"did not teach, but went to a doctor's office for vaccine and flu shot",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"19",54,NA,"2021-11-13 01:59:53",1,1,0,1,2,"2021-11-13 02:08:07","Health Care Workers",1,0,0,1,0,We both did,No,0,0,0,0,0,1,"Health Care Facility",1,1,"Health Care Workers",2,0,0,1,0,We both did,No,0,0,0,0,0,1,"Health Care Facility",1,1,"Laborers",1,0,0,1,0,We both did,No,0,0,0,0,0,1,"Restaurant",0,1,"Students",7,0,1,0,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",3,1,"Partner",1,0,0,1,0,Neither did,Yes,1,1,0,0,0,0,3,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 02:09:46","Professor",0,1,0,1,1,NA,0,"I had an eye appointment",0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,2,2,1,2,1,7,1,NA,NA,NA,NA,NA,6,6,6,2,1,NA,NA,NA,NA,NA,"Faculty","Faculty"
"20",55,NA,"2021-11-13 04:39:43",1,1,0,1,2,"2021-11-13 04:42:59","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",1,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 04:44:43","Professor",1,1,1,0,0,"Tyler, WA",1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,3,1,0,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"21",60,NA,"2021-11-13 09:16:17",1,1,0,1,2,"2021-11-15 09:40:45","Spouse",1,0,0,1,0,Neither did,NA,1,0,0,0,0,0,"Home",3,1,"Children",1,0,0,1,0,Neither did,No,1,0,0,0,0,0,"Home",3,1,"Laborers",1,0,1,0,0,Neither did,No,0,0,0,0,0,1,"Restaurant",1,1,"Laborers",1,0,0,1,0,I did some did not,No,0,0,0,0,1,0,"Store",2,1,"Laborers",1,0,0,1,0,I did some did not,No,0,0,0,0,0,1,3,"Restaurant",1,"Laborers",1,0,0,1,0,I did some did not,No,0,0,0,0,1,0,"Store",2,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-15 09:42:22","Univ Executive",0,0,0,0,1,NA,0,"Don't go out to eat very often (anymore)",0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,4,0,0,0,0,1,2,1,1,1,1,1,1,NA,NA,NA,NA,1,1,6,5,6,5,NA,NA,NA,NA,"Staff","Upper Admin"
"22",61,NA,"2021-11-13 09:41:33",1,1,0,1,2,"2021-11-13 09:46:30","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 09:48:25","Instructor",0,1,0,1,0,"Moscow, Idaho",1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,4,0,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"23",64,NA,"2021-11-13 10:56:32",1,1,0,1,2,"2021-11-13 10:58:21","Colleagues",3,0,0,1,0,We both did,No,0,1,0,0,0,0,"WSU Pullman",0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 10:59:37","Assistant Professor",1,1,0,0,1,NA,0,"No classes, only went to my office for an hour, worked from home the rest of the time",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,4,0,0,0,0,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"24",65,NA,"2021-11-13 12:44:23",1,1,0,1,2,"2021-11-13 12:51:06","Family Members",6,1,1,1,1,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Friends",24,1,0,1,0,Neither did,Yes,0,0,1,0,0,0,"Outdoors",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 12:53:27","Instructor",1,1,0,0,1,NA,0,"It was a weekend so I did not go to Campus; and we had a 4-H activity outdoors with 10 or so families participating.",0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,0,0,0,0,1,2,6,24,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"25",67,NA,"2021-11-13 15:28:54",1,1,0,1,2,"2021-11-13 15:30:38","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 15:32:20","Professor",1,1,0,0,1,NA,1,NA,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"26",68,NA,"2021-11-13 16:35:52",1,1,0,1,2,"2021-11-13 16:41:40","Partner",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",2,1,0,0,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Parents",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Laborers",1,0,0,1,0,We both did,No,0,0,1,0,0,0,"Library",0,1,"Laborers",1,0,1,0,0,We both did,No,0,0,0,0,1,0,0,"Pullman",1,"Neighbors",1,0,0,1,0,Neither did,No,0,0,0,0,0,1,"SEH",1,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 16:46:07","Associate Professor",0,1,0,0,1,NA,0,"I was not on campus because I teach classes on other days of the week, and all work meetings were held virtually. I also went more places in downtown Pullman than I typically would because my mother was around to provide child care, and I don't go inside store with my unvaccinated children.",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,3,1,0,0,0,0,2,1,2,1,1,1,1,NA,NA,NA,NA,1,1,1,3,5,6,NA,NA,NA,NA,"Faculty","Faculty"
"27",69,NA,"2021-11-13 19:36:11",1,1,0,1,2,"2021-11-13 19:40:13","Spouse",1,0,0,1,0,Neither did,Yes,1,0,0,0,0,0,"Home",3,1,"Children",2,1,0,0,0,Neither did,NA,1,0,0,0,0,0,"Home",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-13 19:42:32","WSU remote learning faculty",0,1,2,0,0,"Vancouver",1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,1,0,0,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Faculty"
"28",72,NA,"2021-11-14 06:43:17",1,1,0,1,2,"2021-11-14 06:46:54","Spouse",1,0,0,1,0,Neither did,Yes,1,0,1,0,0,1,"Home",3,1,"Friends",1,0,0,1,0,I did they did not,No,0,0,1,0,0,0,"Outdoors",3,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,2,"2021-11-14 06:48:40","Medical School Professor/Physician",1,1,1,0,0,"Spokane",0,"Weekend day",0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,1,0,0,0,4,0,0,0,0,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"Faculty","Clinical"
